hit_num,text_id,left_context,keyword,right_context,spoken_type,function
2291,FMR,and erm the non metals usually ca n't do things,like,that [unclear] . Here 's your reservoir going down to,Spoken context governed,PREP
6658,HUC,"finished an'all , man . And there 'll be plenty",like,"me . This morning , this morning you know ,",Spoken context governed,PREP
20481,KCD,"Erm , then , coffee . Oh I do n't",like,chocolate . Do n't you ? Not as much as,Spoken demographically sampled,VERB
32741,KP5,door and all of a sudden we heard this really,like,", laugh , you know Mark Oh God ! having",Spoken demographically sampled,DP
20445,KCD,"Oh , you only get two . I do n't",like,"those two [unclear] . Oh I do n't know ,",Spoken demographically sampled,VERB
9062,J9S,"to be a new settlement , then generally people would",like,more certainty . Erm we 've heard about the measured,Spoken context governed,VERB
8231,J3V,doing is if you 're showing interest and you qualify,like,you reckon is it going to be worth my while,Spoken context governed,PREP
28404,KDW,hate it when they go straight up over the hills,like,and they Mm ! do a a somersault straight over,Spoken demographically sampled,DP
1286,FL7,Yes ? I think the evidence though is that men,like,"okay , we 're talking generally , but if you",Spoken context governed,DM
35940,KRH,"social base , and by the same token I would",like,to see erm it possible for more adult students to,Spoken context governed,VERB
9058,J9S,coalescence of existing settlements . First of all I 'd,like,to point out that some of the existing settlements have,Spoken context governed,VERB
2266,FMP,during the course of this enquiry . I would also,like,"to thank you , Mr [gap:name] , er for your",Spoken context governed,VERB
20950,KCE,you . You can say it as loud as you,like,"Jo . I know , I do n't want to",Spoken demographically sampled,VERB
10414,JNN,Mr Gordon said in his opening remarks that I 'd,like,clarified and that is that he gave the committee the,Spoken context governed,VERB
274,DCH,in the hospital without access to medical treatment for something,like,"ten days , and erm , Saria did say she",Spoken context governed,APPROX
14475,KB8,"handle you can tip it , tip it up .",like,", like that . Mm mm . [unclear] it .",Spoken demographically sampled,DP
20866,KCE,", oh my mum 's having such a fit about",like,"on our er , exam leads like er she goes",Spoken demographically sampled,DM
26411,KDA,"and he sees this really pretty woman , but ,",like,he 's got glasses on and he 's got big,Spoken demographically sampled,DM
35887,KRG,a word for it maybe you have it because you,like,it and you want to use it and is n't,Spoken context governed,VERB
37790,KSS,about Mandy ? Yeah . Mm . [unclear] like M,like,"Molly [unclear] John 's wife , she were n't having",Spoken demographically sampled,PREP
17519,KBM,", we 'll be more busy , I do n't",like,"it when it 's busy Not at all , in",Spoken demographically sampled,VERB
12846,K74,"too trivial , there 's too many important things ,",like,why have n't you got the special offer on display,Spoken context governed,PREP
20089,KCA,those fields and make money and have a big house,like,that . [unclear] he just bought that field and that,Spoken demographically sampled,PREP
15895,KBE,abroad [unclear] then they get a letter through to say,like,you know they are going on camp would they be,Spoken demographically sampled,DM
23341,KCV,", but it 's good , I know , I",like,[gap:name] . [unclear] and when you touch it you get,Spoken demographically sampled,VERB
14001,KB7,to make sure that [unclear] Just to make sure I,like,it . Or it is the house that we 're,Spoken demographically sampled,VERB
7529,HVJ,terms in the period eighty one to ninety two something,like,fifteen percent overshoot in terms of completions er in that,Spoken context governed,APPROX
14882,KBB,"n't , not originally . Well they do n't look",like,"there 's , the boots Well they 're damn clean",Spoken demographically sampled,PREP
30031,KGN,"hundred million peasants will rise like a mighty storm ,",like,"a hurricane , a force so swift and violent that",Spoken context governed,PREP
30800,KM2,do 's that you went to and cocktails and things,like,Well they dusted us off and brought us out occasionally,Spoken context governed,PREP
30567,KLS,"? Lakeside . Lakeside , just these fast feeding places",like,McDonald 's . Mm . Where you eat one of,Spoken context governed,PREP
5882,HEN,"the thought of doing , I just I do n't",like,colour photographs at all . They do n't do anything,Spoken context governed,VERB
6798,HUJ,given that the cultural things you have to allow for,like,", like for example in that [unclear] most traditional cultures",Spoken context governed,DM
20721,KCE,I had to have all the strap completely undone so,like,"the , the buckle was like down here ! And",Spoken demographically sampled,DP
4738,GYX,"a verb , an adjective , an adverb and things",like,that are . And what the rules are to using,Spoken context governed,PREP
22235,KCP,"nice electrical meter what they call them , erm What",like,"Daph 's ? yeah , I ai n't after that",Spoken demographically sampled,PREP
13329,KB1,"But you know , but she talks to him like",like,", nobody . Well , she 'll say to him",Spoken demographically sampled,PREP
7331,HV7,off . So it 's split up more or less,like,that with a ninety three acre home producing the silage,Spoken context governed,PREP
6516,HMD,lo I 've got this big problem really about people,like,you coming on asking for pianos . Very often What,Spoken context governed,PREP
8443,J8B,gave her lists of well such as things obvious things,like,Playback and Newsbeat Yes and Newsbeat dinner piece and I,Spoken context governed,PREP
20275,KCB,'ve got that er cod liver oil . Well I,like,"to get the Sanatogen brand , if I can ,",Spoken demographically sampled,VERB
27200,KDM,"morning really . She does n't like ta , I",like,to listen Well I do n't fall asleep Scott !,Spoken demographically sampled,VERB
23962,KCY,"knocked on the front door , win curtain went back",like,"that , she went What ? so I went round",Spoken demographically sampled,QUOT
18239,KBW,my fork You just take my cake [unclear] It tastes,like,"pastry Say [unclear] It tastes like pastry [unclear] Oh ,",Spoken demographically sampled,PREP
11918,JYN,work over the summer Aha . if it 's just,like,one exam or two exams that they 've failed or,Spoken context governed,APPROX
23432,KCV,'s lower . Ah you see ? Nobody has page,like,that . You feel on the table you look No,Spoken demographically sampled,PREP
18576,KC0,in there . I wonder what it would it look,like,"in there ? Ooh yes , it would , it",Spoken demographically sampled,PREP
21720,KCK,? Yeah . See look . Yeah . Do you,like,Scott [gap:name] ? And you 've got a play on,Spoken demographically sampled,VERB
25637,KD8,? An old stained one or something . That 's,like,Barbara and Graham 's . Big Victorian stained door type,Spoken demographically sampled,PREP
36027,KRH,a foolishly romantic conception of what a writer should look,like,. One may also want to argue that an uncouth,Spoken context governed,PREP
36291,KRL,n't think you can ever realise what it must be,like,to be in a battle until you 've actually been,Spoken context governed,PREP
5568,HE0,"mean if you think of all the , I mean",like,"say you 've got a , a , a sort",Spoken context governed,DM
3736,G4R,"age , you do n't bother about money do you",like,", you know . But erm as I say ,",Spoken context governed,DP
10964,JSJ,er not to be settled just on party lines .,like,the previous speakers I greatly welcome the concessions er proposed,Spoken context governed,DM
14278,KB7,"it 's true , think It is . of it",like,"that Anyway she said could we , I said well",Spoken demographically sampled,PREP
20110,KCA,"was n't it ? Me , him and the baby",like,. Yeah but you 've got ta do it have,Spoken demographically sampled,DP
